Model,Scenario,Region,Variable,Unit,2012,2013,2014,2015,2016,2017,2018,2019
Statistik Austria,Energiebilanz 2020,Austria,Biomass,GWh/a,4679.1,4696.0,4547.7,4647.7,4780.0,4920.8,4930.0,4745.1
Statistik Austria,Energiebilanz 2020,Austria,Coal,GWh/a,4387.8,4211.7,2935.1,2954.3,2042.6,1757.9,1805.3,1499.5
Statistik Austria,Energiebilanz 2020,Austria,Fossil Gas,GWh/a,9712.3,6650.2,5320.7,7663.6,8487.6,10914.0,9917.7,11568.7
Statistik Austria,Energiebilanz 2020,Austria,Geothermal,GWh/a,12.2,14.3,13.8,14.9,15.5,12.6,13.4,13.0
Statistik Austria,Energiebilanz 2020,Austria,Hydro,GWh/a,43847.7,42016.7,41007.2,37156.9,39971.3,38293.8,37637.9,40455.3
Statistik Austria,Energiebilanz 2020,Austria,Oil,GWh/a,743.8,695.5,665.3,863.1,1000.0,852.5,716.1,692.6
Statistik Austria,Energiebilanz 2020,Austria,Solar PV,GWh/a,337.5,626.0,785.2,937.1,1096.0,1269.0,1455.1,1702.1
Statistik Austria,Energiebilanz 2020,Austria,Syngas,GWh/a,1838.2,1913.4,1933.5,2106.4,1927.1,2156.2,1814.5,1914.4
Statistik Austria,Energiebilanz 2020,Austria,Waste Incineration,GWh/a,687.8,618.9,558.2,680.4,715.9,694.6,716.4,788.1
Statistik Austria,Energiebilanz 2020,Austria,Wind,GWh/a,2462.9,3152.4,3845.7,4840.3,5234.8,6571.5,6030.4,7477.4
